architecture,seed,forgotten_domain,method,device,parameter_count,checkpoint_bytes,original_training_optimizer_steps,original_training_samples_seen,online_optimizer_steps,online_gradient_sample_exposures,online_unique_forget_samples,online_unique_retain_samples,online_selection_inference_samples,online_temporary_storage_bytes,online_seconds,online_optimization_seconds,full_retraining_optimizer_steps,full_retraining_samples_seen,full_retraining_optimization_seconds,full_retraining_validation_seconds,offline_preparation_seconds,offline_preparation_samples,offline_preparation_batches,offline_preparation_storage_bytes,offline_preparation_kind,offline_preparation_wall_seconds,offline_preparation_rss_start_bytes,offline_preparation_rss_peak_bytes,offline_preparation_rss_peak_increment_bytes,offline_preparation_accelerator_start_bytes,offline_preparation_accelerator_peak_bytes,offline_preparation_accelerator_peak_increment_bytes,offline_preparation_accelerator_memory_status,original_training_wall_seconds,original_training_rss_start_bytes,original_training_rss_peak_bytes,original_training_rss_peak_increment_bytes,original_training_accelerator_start_bytes,original_training_accelerator_peak_bytes,original_training_accelerator_peak_increment_bytes,original_training_accelerator_memory_status,online_unlearning_wall_seconds,online_unlearning_rss_start_bytes,online_unlearning_rss_peak_bytes,online_unlearning_rss_peak_increment_bytes,online_unlearning_accelerator_start_bytes,online_unlearning_accelerator_peak_bytes,online_unlearning_accelerator_peak_increment_bytes,online_unlearning_accelerator_memory_status,full_retraining_wall_seconds,full_retraining_rss_start_bytes,full_retraining_rss_peak_bytes,full_retraining_rss_peak_increment_bytes,full_retraining_accelerator_start_bytes,full_retraining_accelerator_peak_bytes,full_retraining_accelerator_peak_increment_bytes,full_retraining_accelerator_memory_status,online_speedup_vs_retraining_optimization,monitor_scope_speedup_vs_retraining,gradient_exposure_reduction_fraction
mlp,42,NF-UNSW-NB15,rollback_repair,cuda,16994,67976,26580,6793480,476,121656,0,106495,0,271904,1.6870845010000721,1.685080839999955,19040,4866240,68.77720737799928,0.15802759000007427,,0,0,271904,domain update trace; incremental tracing time not separately measured,,,,,,,,not_measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,1.7200383480001165,1920495616,1928888320,8392704,18087936,18989568,901632,measured,68.94043096299993,2188079104,2188095488,16384,18087936,18991616,903680,measured,40.76690132428425,40.08075229436411,0.975
mlp,42,NF-UNSW-NB15,ssd_canonical,cuda,16994,67976,26580,6793480,0,96362,96362,0,0,67976,3.12201043999994,0.0,19040,4866240,68.77720737799928,0.15802759000007427,10.527136286000086,339674,5309,67976,full-training Fisher cache,10.52980487700006,1831391232.0,1919426560.0,88035328.0,18087936.0,18436608.0,348672.0,measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,3.1243936260000282,1929277440,1949847552,20570112,18087936,18454528,366592,measured,68.94043096299993,2188079104,2188095488,16384,18087936,18991616,903680,measured,22.029781353966452,22.065219436278323,0.9801978529624515
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=1,cuda,16994,67976,26580,6793480,0,96362,96362,0,0,67976,3.3343558230001236,0.0,19040,4866240,68.77720737799928,0.15802759000007427,10.527136286000086,339674,5309,67976,full-training Fisher cache,10.52980487700006,1831391232.0,1919426560.0,88035328.0,18087936.0,18436608.0,348672.0,measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,3.336892028999955,1949847552,2135351296,185503744,18087936,18454528,366592,measured,68.94043096299993,2188079104,2188095488,16384,18087936,18991616,903680,measured,20.626834995707274,20.660072415846468,0.9801978529624515
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=2,cuda,16994,67976,26580,6793480,0,96362,96362,0,0,67976,3.114757979999922,0.0,19040,4866240,68.77720737799928,0.15802759000007427,10.527136286000086,339674,5309,67976,full-training Fisher cache,10.52980487700006,1831391232.0,1919426560.0,88035328.0,18087936.0,18436608.0,348672.0,measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,3.1172422110000753,2135351296,2135990272,638976,18087936,18454528,366592,measured,68.94043096299993,2188079104,2188095488,16384,18087936,18991616,903680,measured,22.08107590368899,22.115840315431385,0.9801978529624515
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=3,cuda,16994,67976,26580,6793480,0,96362,96362,0,0,67976,3.113408791000211,0.0,19040,4866240,68.77720737799928,0.15802759000007427,10.527136286000086,339674,5309,67976,full-training Fisher cache,10.52980487700006,1831391232.0,1919426560.0,88035328.0,18087936.0,18436608.0,348672.0,measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,3.115865589000123,2135986176,2135990272,4096,18087936,18454528,366592,measured,68.94043096299993,2188079104,2188095488,16384,18087936,18991616,903680,measured,22.090644690414706,22.125611324948974,0.9801978529624515
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=5,cuda,16994,67976,26580,6793480,0,96362,96362,0,0,67976,3.0300614319999113,0.0,19040,4866240,68.77720737799928,0.15802759000007427,10.527136286000086,339674,5309,67976,full-training Fisher cache,10.52980487700006,1831391232.0,1919426560.0,88035328.0,18087936.0,18436608.0,348672.0,measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,3.0323750239999754,2135986176,2135990272,4096,18087936,18454528,366592,measured,68.94043096299993,2188079104,2188095488,16384,18087936,18991616,903680,measured,22.69828811114391,22.73479712019963,0.9801978529624515
mlp,42,NF-UNSW-NB15,dc_ssd_no_contrast,cuda,16994,67976,26580,6793480,0,0,0,0,0,271904,0.021003810999900452,0.0,19040,4866240,68.77720737799928,0.15802759000007427,10.588147320999951,339674,5310,271904,class-balanced per-domain Fisher bank,10.588261701999954,1919496192.0,1920442368.0,946176.0,18087936.0,18436608.0,348672.0,measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,0.023368553999944197,2135986176,2136461312,475136,18087936,18454528,366592,measured,68.94043096299993,2188079104,2188095488,16384,18087936,18991616,903680,measured,3274.5108674956773,2950.136793366186,1.0
mlp,42,NF-UNSW-NB15,dc_ssd_no_class_balance,cuda,16994,67976,26580,6793480,0,0,0,0,0,271904,0.018736334999857718,0.0,19040,4866240,68.77720737799928,0.15802759000007427,10.681567900000118,339674,5310,271904,empirical-weighted class-conditional per-domain Fisher bank,10.681682185,1920438272.0,1920499712.0,61440.0,18087936.0,18436608.0,348672.0,measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,0.0212327340000229,2136457216,2136461312,4096,18087936,18454528,366592,measured,68.94043096299993,2188079104,2188095488,16384,18087936,18991616,903680,measured,3670.7930007934615,3246.8937331822444,1.0
mlp,42,NF-UNSW-NB15,dc_ssd,cuda,16994,67976,26580,6793480,0,0,0,0,0,271904,0.01966718900007436,0.0,19040,4866240,68.77720737799928,0.15802759000007427,10.588147320999951,339674,5310,271904,class-balanced per-domain Fisher bank,10.588261701999954,1919496192.0,1920442368.0,946176.0,18087936.0,18436608.0,348672.0,measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,0.02197265800009518,2136457216,2136461312,4096,18087936,18454528,366592,measured,68.94043096299993,2188079104,2188095488,16384,18087936,18991616,903680,measured,3497.053258487486,3137.5553637025296,1.0
mlp,42,NF-UNSW-NB15,scrub_r,cuda,16994,67976,26580,6793480,11730,922660,96362,243312,310061,271904,54.44030530200007,54.0801940570002,19040,4866240,68.77720737799928,0.15802759000007427,0.0,0,0,0,none,,,,,,,,not_measured,112.73868298399998,1549598720,1829146624,279547904,0,19344896,19344896,measured,54.446405508,2136457216,2188079104,51621888,18087936,19027968,940032,measured,68.94043096299993,2188079104,2188095488,16384,18087936,18991616,903680,measured,1.2633508757246532,1.2662072054117561,0.810395705924903
