architecture,seed,forgotten_domain,candidate_model,evaluation_domain,evaluation_scope,prediction_agreement,mean_abs_attack_probability_gap,root_mean_square_probability_gap,mean_jensen_shannon_divergence,linear_cka_to_retrained,f1_gap_to_retrained,roc_auc_gap_to_retrained,log_loss_gap_to_retrained
mlp,42,NF-UNSW-NB15,original,NF-UNSW-NB15,forgotten,0.45453245639119244,0.5129122426167813,0.6108700390792597,0.2677273092072476,0.34516413277990854,0.9385338413220191,0.7380334352219358,-1.144047580581496
mlp,42,NF-UNSW-NB15,original,NF-ToN-IoT,retained,0.9429291771716709,0.06426871916009513,0.09812785566346253,0.007191802175799682,0.8184284810769454,0.0097364508669594,0.02281009290756597,-0.18685598920054725
mlp,42,NF-UNSW-NB15,original,NF-BoT-IoT,retained,0.9955371502090704,0.0030820180411660738,0.02622688325501951,0.00045893753341044285,0.9288381015004357,-0.001079150185139932,-0.0022771603944093943,0.00155341292569329
mlp,42,NF-UNSW-NB15,original,NF-CSE-CIC-IDS2018,retained,0.9910298577591731,0.011508701661912356,0.033220263514744844,0.000974934392173277,0.9383195581796936,-0.011789088776670509,-0.0026632492001139596,0.02529439856887461
mlp,42,NF-UNSW-NB15,rollback_repair,NF-UNSW-NB15,forgotten,0.4990944619197407,0.30104299710025767,0.3373457734115284,0.07417428018283644,0.39580950887595723,-0.0318836389168822,-0.20943273138754925,-0.6130077525669106
mlp,42,NF-UNSW-NB15,rollback_repair,NF-ToN-IoT,retained,0.48521659408663764,0.3211341951239042,0.3433434742330039,0.0801069717369165,0.38436711829385584,-0.6345676995667919,-0.47070294306382787,-0.24224956787531893
mlp,42,NF-UNSW-NB15,rollback_repair,NF-BoT-IoT,retained,0.5683097458990028,0.4860110094390578,0.49087153562850405,0.20726214869823614,0.7505244661028981,-0.2707899856820909,-0.3501525563250478,0.6641174139955691
mlp,42,NF-UNSW-NB15,rollback_repair,NF-CSE-CIC-IDS2018,retained,0.6140275938661313,0.43374589298130617,0.44556388666587393,0.1603769858294197,0.4741050746747719,-0.5800621055535812,-0.4966522695301784,0.3347800789240761
mlp,42,NF-UNSW-NB15,ssd_canonical,NF-UNSW-NB15,forgotten,0.45453245639119244,0.5129122426167813,0.6108700390792597,0.2677273092072476,0.34516413277990854,0.9385338413220191,0.7380334352219358,-1.144047580581496
mlp,42,NF-UNSW-NB15,ssd_canonical,NF-ToN-IoT,retained,0.9429291771716709,0.06426871916009513,0.09812785566346253,0.007191802175799682,0.8184284810769454,0.0097364508669594,0.02281009290756597,-0.18685598920054725
mlp,42,NF-UNSW-NB15,ssd_canonical,NF-BoT-IoT,retained,0.9955371502090704,0.0030820180411660738,0.02622688325501951,0.00045893753341044285,0.9288381015004357,-0.001079150185139932,-0.0022771603944093943,0.00155341292569329
mlp,42,NF-UNSW-NB15,ssd_canonical,NF-CSE-CIC-IDS2018,retained,0.9910298577591731,0.011508701661912356,0.033220263514744844,0.000974934392173277,0.9383195581796936,-0.011789088776670509,-0.0026632492001139596,0.02529439856887461
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=1,NF-UNSW-NB15,forgotten,0.4559622533600229,0.5111572501038196,0.6092317532527258,0.2660587097052579,0.36909180511222733,0.9284185680656182,0.737942965761363,-1.1388393477440872
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=1,NF-ToN-IoT,retained,0.9422415768966308,0.06029712427005066,0.09575451882838217,0.006592627850091636,0.8368089446074668,0.009797046134665144,0.013073535751359167,-0.15580090858458207
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=1,NF-BoT-IoT,retained,0.9954969443550981,0.0031205801148311303,0.026236786817964663,0.00045929513195396834,0.9285833380473963,-0.0010995337770733915,-0.0019315599219770219,0.0016676535917383994
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=1,NF-CSE-CIC-IDS2018,retained,0.9915424373157917,0.011063772315063045,0.03125494419340835,0.0008824545227169575,0.9378165830819127,-0.008689561565543125,-0.04501402871944671,0.043447139285311465
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=2,NF-UNSW-NB15,forgotten,0.45519969497664664,0.512043397478799,0.6100504063708729,0.26692556258781497,0.34013604490970917,0.9334893580092074,0.7380200835767945,-1.1419566492949982
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=2,NF-ToN-IoT,retained,0.9420123768049508,0.0691069122959427,0.10291164510532794,0.008160246110943624,0.8180067741518481,0.010418838448384204,0.0290668371425592,-0.21756317442543383
