architecture,seed,forgotten_domain,method,base_method,protocol,rollback_scale,repair_epochs,repair_fraction,parameter_change_l2,parameter_change_max_abs,is_identity_map,is_near_identity,alpha,lambda,selected_parameter_count,selected_parameter_fraction,effectively_changed_parameter_count,selection_status,total_parameter_count,reference_forget_fisher_cosine_similarity,finite_ratio_max,finite_ratio_median,dampening_factor_min,dampening_factor_median,dampening_factor_max,alpha_is_configured_default,alpha_matches_published_cifar_resnet_setting,fisher_scope,forget_training_fraction,batch_normalized_ratio_upper_bound,full_fisher_batches,structural_noop,forget_fisher_batches,forget_fisher_samples,ablation_class_balanced,ablation_contrastive,no_contrast_ratio_upper_bound,class_weighting,fisher_estimator,domain_weighting,reference_domain_scope,retained_reference,online_raw_retain_rows,online_raw_forget_rows,cache_policy_note,teacher_frozen,forget_max_steps,total_min_steps,chosen_rewind_step,final_same_domain_validation_error,chosen_forget_train_error,temperature,alpha_retain_kl,gamma_retain_ce,optimizer,learning_rate,learning_rate_is_configured_default,learning_rate_matches_published_cifar_setting,schedule_scope,weight_decay,momentum,forget_batch_size,retain_batch_size,gradient_clipping,rewind_reference_uses
mlp,42,NF-UNSW-NB15,rollback_repair,rollback_repair,amnesiac update subtraction plus custom retained repair,1.0,2.0,0.25,9.307546887023712,0.818348228931427,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlp,42,NF-UNSW-NB15,ssd_canonical,ssd_canonical,"canonical SSD (Foster et al., AAAI 2024)",,,,0.0,0.0,True,True,10.0,1.0,0.0,0.0,0.0,no_parameters_selected,16994.0,0.5845881814760959,3.4949052333831787,0.094948410987854,1.0,1.0,1.0,True,True,100% pooled train cache plus 100% forgotten train online,0.2836896553754482,3.5252324037184595,5309.0,True,1506.0,96362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=1,ssd_canonical,"canonical SSD (Foster et al., AAAI 2024)",,,,1.1392916199675494,0.4555819034576416,False,False,1.0,1.0,566.0,0.03330587266093916,566.0,weights_changed,16994.0,0.5845881814760959,3.4949052333831787,0.094948410987854,0.28613078594207764,0.6929700970649719,0.9997879862785339,False,False,100% pooled train cache plus 100% forgotten train online,0.2836896553754482,3.5252324037184595,5309.0,False,1506.0,96362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=2,ssd_canonical,"canonical SSD (Foster et al., AAAI 2024)",,,,0.7400818254907245,0.12224890291690826,False,False,2.0,1.0,134.0,0.00788513593032835,134.0,weights_changed,16994.0,0.5845881814760959,3.4949052333831787,0.094948410987854,0.28613078594207764,0.3848080635070801,0.4992310106754303,False,False,100% pooled train cache plus 100% forgotten train online,0.2836896553754482,3.5252324037184595,5309.0,False,1506.0,96362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=3,ssd_canonical,"canonical SSD (Foster et al., AAAI 2024)",,,,0.3424080751785941,0.11095200479030609,False,False,3.0,1.0,28.0,0.0016476403436507003,28.0,weights_changed,16994.0,0.5845881814760959,3.4949052333831787,0.094948410987854,0.28613078594207764,0.3055567741394043,0.3301263153553009,False,False,100% pooled train cache plus 100% forgotten train online,0.2836896553754482,3.5252324037184595,5309.0,False,1506.0,96362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=5,ssd_canonical,"canonical SSD (Foster et al., AAAI 2024)",,,,0.0,0.0,True,True,5.0,1.0,0.0,0.0,0.0,no_parameters_selected,16994.0,0.5845881814760959,3.4949052333831787,0.094948410987854,1.0,1.0,1.0,False,False,100% pooled train cache plus 100% forgotten train online,0.2836896553754482,3.5252324037184595,5309.0,True,1506.0,96362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlp,42,NF-UNSW-NB15,dc_ssd_no_contrast,dc_ssd_no_contrast,DC-SSD ablation: class-balanced Fisher without retained-only contrast,,,,1.6745046852939858,0.6840123534202576,False,False,2.0,1.0,363.0,0.021360480169471577,363.0,weights_changed,16994.0,0.26248792379796865,3.9930930137634277,0.060741737484931946,0.25043243169784546,0.35228854417800903,0.499999463558197,,,,,,,False,,,True,False,4.0,equal 0.5/0.5,class-conditional mean squared batch-mean CE gradient,equal across reference domains,all domains including forgotten,mean,0.0,0.0,The shared bank is kept only to benchmark independent deletion scenarios; a deployment must purge the forgotten domain entry.,,,,,,,,,,,,,,,,,,,,
mlp,42,NF-UNSW-NB15,dc_ssd_no_class_balance,dc_ssd_no_class_balance,DC-SSD ablation: retained-domain contrast without class balancing,,,,1.366430556701079,0.7015968561172485,False,False,2.0,1.0,214.0,0.012592679769330352,214.0,weights_changed,16994.0,0.24695507238440229,506.5879821777344,0.0294636357575655,0.0019739908166229725,0.27538496255874634,0.4997173547744751,,,,,,,False,,,False,True,,empirical training fractions within domain,class-conditional mean squared batch-mean CE gradient,equal across reference domains,retained only,mean,0.0,0.0,The shared bank is kept only to benchmark independent deletion scenarios; a deployment must purge the forgotten domain entry.,,,,,,,,,,,,,,,,,,,,
mlp,42,NF-UNSW-NB15,dc_ssd,dc_ssd,proposed class-balanced domain-contrastive SSD,,,,2.3995464507342663,0.9120164513587952,False,False,2.0,1.0,516.0,0.030363657761562905,516.0,weights_changed,16994.0,0.24473313967874336,1734.3743896484375,0.04625876247882843,0.0005765767418779433,0.21516139805316925,0.499695360660553,,,,,,,False,,,True,True,,equal 0.5/0.5,class-conditional mean squared batch-mean CE gradient,equal across reference domains,retained only,mean,0.0,0.0,The shared bank is kept only to benchmark independent deletion scenarios; a deployment must purge the forgotten domain entry.,,,,,,,,,,,,,,,,,,,,
mlp,42,NF-UNSW-NB15,scrub_r,scrub_r,"SCRUB+R (Kurmanji et al., NeurIPS 2023)",,,,143.42257501902915,99.57238006591797,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2.0,3.0,3.0,0.5694874851013111,0.5456196425977045,4.0,0.001,0.99,sgd,0.0005,True,True,NetFlow short-run adaptation; not exact image-experiment reproduction,0.0005,0.9,32.0,128.0,False,"forgotten-domain validation split, never test"
